date,category,amount,description
2025-03-01,Food,120.00,Breakfast at cafe
2025-03-03,Travel,450.00,Metro card recharge
2025-03-05,Bills,999.00,Monthly internet bill
2025-03-07,Food,85.50,Lunch with colleague
2025-03-10,Entertainment,299.00,Netflix subscription
2025-03-12,Food,210.00,Grocery shopping
2025-03-14,Travel,180.00,Uber to office
2025-03-16,Others,550.00,Stationery and misc
2025-03-18,Food,340.00,Dinner with friends
2025-03-20,Bills,1200.00,Electricity bill
2025-03-22,Entertainment,150.00,Movie ticket
2025-03-25,Food,95.00,Evening snacks
2025-03-28,Travel,220.00,Weekend trip fuel
2025-03-30,Others,480.00,Birthday gift
2025-04-01,Food,130.00,Morning coffee and sandwich
2025-04-02,Bills,850.00,Mobile recharge plan
2025-04-04,Food,260.00,Grocery run
2025-04-06,Travel,390.00,Cab to airport
2025-04-08,Entertainment,499.00,Spotify + Prime combo
2025-04-10,Food,175.00,Lunch at restaurant
2025-04-12,Others,320.00,Household supplies
2025-04-14,Food,440.00,Weekend brunch
2025-04-16,Bills,1500.00,Rent contribution
2025-04-18,Travel,160.00,Auto fare
2025-04-20,Entertainment,200.00,Board game night
2025-04-22,Food,310.00,Groceries
2025-04-25,Others,700.00,Clothing
2025-04-28,Travel,250.00,Petrol
2025-04-30,Food,190.00,Dinner takeout
